frequency_mode,seed,K,sigma_omega,rho,max_delta,Lambda_K,eta,t_f_num,phi_bar_tf,T_eta_pred,T_eta_sim,relative_error,fast_threshold_reached,hitting_threshold_reached,locked_profile_residual,sphere_norm_error
deterministic,-1,6.0,0.2,0.055708601453115576,0.33425160871869347,0.006675573436956211,0.82,0.1364256480218281,0.8496256404506927,9.05711348720821,9.079099383187403,0.002421594373105485,True,True,3.6637359812630166e-15,5.587407203577754e-10
deterministic,-1,6.0,0.24,0.06685032174373866,0.401101930462432,0.009618490675457532,0.82,0.0,0.85,6.269765645346258,6.314786987645251,0.007129510842895608,True,True,2.7478019859472624e-14,6.505960215008599e-10
deterministic,-1,6.0,0.28,0.07799204203436179,0.46795225220617076,0.01310097036219451,0.82,0.0,0.85,4.6031462349606675,4.647866515928139,0.009621679283218642,True,True,4.996003610813204e-16,8.115308425260537e-10
deterministic,-1,6.0,0.32,0.08913376232498489,0.5348025739499094,0.01712528098112334,0.82,0.0,0.85,3.5214419234078567,3.5658523204452264,0.012454356783857133,True,True,4.440892098500626e-16,1.064561772068373e-09
deterministic,-1,6.0,0.36,0.100275482615608,0.601652895693648,0.021694059674450296,0.82,0.0,0.8499999999999999,2.7798246756041904,2.8239163673810097,0.0156136677013956,True,True,6.661338147750939e-16,1.1058255422469188e-09
deterministic,-1,7.5,0.2,0.04456688116249246,0.33425160871869347,0.005337889248366103,0.82,0.1364256480218281,0.8496958204006704,11.319166843394143,11.33414853555482,0.0013218189362598134,True,True,2.7200464103316335e-15,5.488478560522481e-10
deterministic,-1,7.5,0.24,0.05348025739499093,0.401101930462432,0.007689454201541264,0.82,0.1364256480218281,0.8495616570852211,7.8641104068856755,7.878947424307239,0.001883121770274827,True,True,3.0531133177191805e-15,6.04462480069401e-10
deterministic,-1,7.5,0.28,0.06239363362748943,0.46795225220617076,0.010470863889598106,0.82,0.0,0.85,5.759379840375484,5.795491222556634,0.006230944158900753,True,True,1.6042722705833512e-14,6.878192460035848e-10
deterministic,-1,7.5,0.32,0.07130700985998792,0.5348025739499094,0.013683270233600458,0.82,0.0,0.85,4.407256552529462,4.443176621866913,0.008084321735191018,True,True,8.881784197001252e-16,8.747621516036475e-10
deterministic,-1,7.5,0.36,0.0802203860924864,0.601652895693648,0.017328008728552908,0.82,0.0,0.8500000000000002,3.480243075922296,3.5159688393409345,0.01016100114963905,True,True,7.771561172376096e-16,1.1649289310966537e-09
deterministic,-1,9.0,0.2,0.03713906763541039,0.33425160871869347,0.004447079603987164,0.82,0.1364256480218281,0.8497429736792587,13.580602866920984,13.59126672858064,0.0007846113149432871,True,True,3.164135620181696e-15,5.392670754389428e-10
deterministic,-1,9.0,0.24,0.04456688116249244,0.401101930462432,0.006405467098039305,0.82,0.1364256480218281,0.8496296675527818,9.43454973254587,9.445123343323099,0.0011194783162576042,True,True,4.440892098500626e-16,5.825560034367072e-10
deterministic,-1,9.0,0.28,0.05199469468957453,0.46795225220617076,0.008721245792801346,0.82,0.1364256480218281,0.8494956192034504,6.934595290833887,6.945076885287618,0.001509212155150535,True,True,2.55351295663786e-15,6.468089397415611e-10
deterministic,-1,9.0,0.32,0.059422508216656594,0.5348025739499094,0.011395079336690478,0.82,0.1364256480218281,0.8493407695851358,5.312015155861439,5.322402878514279,0.001951697924780181,True,True,1.2212453270876722e-14,7.56642637433913e-10
deterministic,-1,9.0,0.36,0.06685032174373867,0.601652895693648,0.014427736013186277,0.82,0.0,0.85,4.179843763564178,4.2098576793443225,0.007129437160645075,True,True,4.141131881851834e-14,9.583503990384656e-10
deterministic,-1,10.5,0.2,0.031833486544637475,0.33425160871869347,0.0038111827506895524,0.82,0.1364256480218281,0.8497769552150575,15.841748711641344,15.849594518547839,0.000495016254031835,True,True,2.9976021664879227e-15,5.428268945451009e-10
