seed,D_over_Lambda_min_seed,D_over_Lambda_max_seed,D_over_Lambda_mean_seed,relative_drift_error_max_seed,relative_drift_error_mean_seed,rho_min_seed,rho_max_seed,all_fast_thresholds_reached_seed
0,0.9981226318168148,0.9997518089736729,0.9991951160352899,0.0018773681831851796,0.0008048839647101853,0.03627949266378035,0.08162885849350578,True
1,0.9971198028702648,0.9996190847773345,0.998764842219984,0.002880197129735196,0.0012351577800160508,0.039374788000424855,0.08859327300095592,True
2,0.9982979337957911,0.9997751169882719,0.9992704506304992,0.0017020662042088741,0.0007295493695007717,0.03249337086136219,0.07311008443806492,True
3,0.9970229996429605,0.9996062068913264,0.9987232895273661,0.0029770003570395165,0.0012767104726339646,0.03961977036821936,0.08914448332849356,True
4,0.9987123862221214,0.9998299516172839,0.9994482422483247,0.0012876137778785601,0.0005517577516751773,0.029474698086411188,0.06631807069442516,True
