K,rho,t_f_num,K_t_f_num,fast_threshold_reached,fast_layer_not_resolved,median_R_ans_over_rho2,p95_R_ans_over_rho2,median_E_phi_over_rho2,p95_E_phi_over_rho2,D_u_over_rho_median,log_ratio_slope_fit,log_ratio_slope_pred,log_ratio_slope_relative_error,log_ratio_r_squared,p_relative_L2_error,p_max_error,drift_relative_L2_error,drift_max_relative_error,polar_logtan_relative_L2_error,max_phi_error,sphere_norm_error,min_mean_transverse_norm,max_block_weight_sum_error,post_fast_metric_point_count,polar_metric_point_count,warning_count
8.0,0.052969128007574154,0.0,0.0,True,False,0.24952076007059937,0.8079928019724129,0.053921814396325984,0.6800821457651942,1.1163444838402228,0.16014767114112427,0.15999999999999986,0.0009229446320275372,0.9999999984344478,0.0002657794446601726,0.0002208296304296864,0.0008104258148201859,0.0012231028011777296,0.0009629330003527265,0.00018554310335727742,5.492013510632887e-10,0.9995930586705553,4.440892098500626e-16,3000,1952,0
10.0,0.04237530240605932,0.0,0.0,True,False,0.24969474226609883,0.7362460510977502,0.05398956420789597,0.5957870309591365,1.1178234017986706,0.16009449012935378,0.15999999999999986,0.0005905633084619949,0.9999999993576452,0.00017012222281396515,0.00014134260491466266,0.0005194132889604978,0.0007851392611506874,0.0006171429172071832,0.00011879089678201726,5.046193463087434e-10,0.9997394745723192,4.440892098500626e-16,3000,1949,0
12.0,0.035312752005049436,0.0,0.0,True,False,0.24981564911373078,0.6534693192516395,0.054036746306620996,0.503976724614329,1.1187984447251251,0.16006561376092515,0.15999999999999986,0.000410086005783045,0.9999999996898469,0.00011814975567627928,9.816052061800695e-05,0.00036198417512136384,0.0005481763545912848,0.0004289301970403095,8.251027030614644e-05,5.145296411157574e-10,0.9998190482428081,4.440892098500626e-16,3000,1947,0
16.0,0.026484564003787077,0.00875,0.14,True,False,0.24972397938485863,0.4703423140829316,0.05400167993097167,0.30751933938558323,1.1184116765090513,0.16003690215819585,0.15999999999999986,0.000230638488724934,0.9999999999018208,6.616831627824632e-05,5.496181134934108e-05,0.00020777527072338283,0.0003169558206681677,0.00023943059704889367,4.608616052825809e-05,5.298044225554577e-10,0.9998990712939918,4.440892098500626e-16,2993,1944,0
