K,rho,Kt_f_Ctol_5,Kt_f_Ctol_1,median_R_ans_over_rho2,p95_R_ans_over_rho2,median_E_phi_over_rho2,p95_E_phi_over_rho2,median_D_u_over_rho,min_mean_transverse_norm,min_sin_phi,vector_L2_error,median_alignment,sphere_norm_error,max_block_weight_sum_error
8.0,0.052969128007574154,0.0,1.22,0.24952076007059937,0.8079928019724129,0.053921814396325984,0.6800821457651942,1.1163444838402228,0.9995930586705553,0.5675483995591012,0.0017353564747073682,0.9999989794184387,5.492013510632887e-10,4.440892098500626e-16
10.0,0.04237530240605932,0.0,1.4625,0.24969474226609883,0.7362460510977502,0.05398956420789597,0.5957870309591365,1.1178234017986706,0.9997394745723192,0.5677630904386511,0.0013162428027228997,0.9999993468305928,5.046193463087434e-10,4.440892098500626e-16
12.0,0.035312752005049436,0.0,1.6500000000000001,0.24981564911373078,0.6534693192516395,0.054036746306620996,0.503976724614329,1.1187984447251251,0.9998190482428081,0.5678966612502433,0.0010629058222779593,0.9999995463895464,5.145296411157574e-10,4.440892098500626e-16
16.0,0.026484564003787077,0.14,1.96,0.24972397938485863,0.4703423140829316,0.05400167993097167,0.30751933938558323,1.1184116765090513,0.9998990712939918,0.5680528596714565,0.000771029573229165,0.9999997448316907,5.298044225554577e-10,4.440892098500626e-16
