panel,num_points,ratio_or_relative_error_min,ratio_or_relative_error_max,ratio_or_relative_error_mean,maximum_absolute_error
a_drift_rate,45,0.9970203120052319,0.9997923058955288,0.9990756917803125,0.00297968799476811
b_hitting_time,125,7.41905592558237e-05,0.008920264694495531,0.0016739973796712946,0.02654870140725052
