K,rho,status,valid_point_count,velocity_floor,vector_L2_error,median_alignment,median_scaled_residual,reason
8.0,0.052969128007574154,reported,1952,4.926441386666398e-06,0.0017353564747073682,0.9999989794184387,0.005216416727766433,
10.0,0.04237530240605932,reported,1949,3.941223671002765e-06,0.0013162428027228997,0.9999993468305928,0.0049602916065710915,
12.0,0.035312752005049436,reported,1947,3.2843874906123036e-06,0.0010629058222779593,0.9999995463895464,0.004815738845603384,
16.0,0.026484564003787077,reported,1944,2.4631810395041052e-06,0.000771029573229165,0.9999997448316907,0.004667376926410457,
