K,rho,threshold,t_f_num,t_f_index,K_t_f_num,K_t_f_num_over_log_one_over_rho,E_theta_initial,E_phi_initial,E_lock_initial,E_theta_initial_over_rho,E_phi_initial_over_rho,E_lock_initial_over_rho,E_theta_at_t_f_num,E_phi_at_t_f_num,E_lock_at_t_f_num,E_theta_at_t_f_num_over_rho2,E_phi_at_t_f_num_over_rho2,E_lock_at_t_f_num_over_rho2,threshold_crossed,locked_profile_residual,sphere_norm_error
10.0,0.025778574121175325,0.0033226744186046512,0.08374187093546773,93,0.8374187093546772,0.2289147820405278,0.0038667861181763703,0.0038667861181762575,0.007733572236352628,0.15000000000000277,0.14999999999999838,0.30000000000000115,0.0016742072440334675,0.0016473942455884627,0.0033216014896219302,2.519366981397694,2.4790184623028484,4.998385443700542,True,4.440892098500626e-16,4.988707225095368e-10
15.0,0.01718571608078355,0.0014767441860465114,0.08284142071035518,92,1.2426213106553277,0.3057874437870881,0.002577857412117553,0.00257785741211769,0.005155714824235243,0.1500000000000012,0.15000000000000915,0.30000000000001037,0.0007442334824488712,0.0007287853103342679,0.001473018792783139,2.519845649236336,2.4675408145176,4.9873864637539365,True,3.3306690738754696e-16,4.457514357625314e-10
22.5,0.0114571440538557,0.0006563307493540051,0.07383691845922961,82,1.6613306653326663,0.37173371005893685,0.0017185716080783666,0.001718571608078423,0.0034371432161567897,0.15000000000000102,0.15000000000000593,0.30000000000000693,0.0003263956434144113,0.00031834453526768947,0.0006447401786821008,2.4865179921530944,2.4251837627676345,4.911701754920729,True,9.43689570931383e-16,4.5641157520037723e-10
30.0,0.008592858040391775,0.00036918604651162785,0.06483241620810405,72,1.9449724862431215,0.4088804914439174,0.0012889287060588086,0.0012889287060589005,0.002577857412117709,0.15000000000000493,0.15000000000001562,0.30000000000002053,0.00018433317337464804,0.00017946080766928496,0.000363793981043933,2.49648077326295,2.4304928282769307,4.92697360153988,True,2.7755575615628914e-16,4.663962549500411e-10
