K,rho,t_f_num,K_t_f_num,t_obs,K_t_obs,t_obs_minus_t_f_num,K_times_t_obs_minus_t_f_num,R_gap_obs,R_gap_obs_over_rho2,E_theta_obs,E_phi_obs,E_lock_obs,E_lock_obs_over_rho2,threshold,locked_profile_residual,sphere_norm_error
8.0,0.03180627344742299,0.07892627709143224,0.6314102167314579,0.8620229326079866,6.8961834608638926,0.7830966555165544,6.264773244132435,4.651246454503988e-06,0.004597733295925771,4.651246454503988e-06,0.0001589625787603577,0.00016361382521486167,0.16173142817141256,0.005058195153061223,4.440892098500626e-16,5.334623853769926e-10
10.0,0.025445018757938392,0.0850844228387521,0.850844228387521,0.7342470563492312,7.342470563492311,0.6491626335104791,6.491626335104791,2.392113461441997e-06,0.0036946748498237307,2.392113461441997e-06,0.00010232530118781114,0.00010471741464925313,0.16173848125495363,0.0032372448979591834,8.326672684688674e-16,5.202802633164083e-10
12.0,0.021204182298281995,0.08636965732541022,1.0364358879049225,0.6422594730900185,7.707113677080223,0.5558898157646083,6.670677789175299,1.3889326892276704e-06,0.0030891439102255142,1.3889326892276704e-06,7.133351006127775e-05,7.272244275050542e-05,0.16174296486920922,0.0022480867346938776,5.551115123125783e-16,5.037756878323307e-10
15.0,0.016963345838625594,0.08398352734463835,1.2597529101695752,0.543560051980576,8.15340077970864,0.4595765246359377,6.893647869539065,7.143546853598248e-07,0.002482509190257548,7.143546853598248e-07,4.5829856200718666e-05,4.654421088607849e-05,0.16174938534878347,0.001438775510204081,2.220446049250313e-16,4.757776395081237e-10
20.0,0.012722509378969196,0.0774225215058593,1.5484504301171862,0.4364382462306101,8.728764924612202,0.3590157247247508,7.180314494495016,3.0327470780522336e-07,0.001873659345305714,3.0327470780522336e-07,2.587954685173699e-05,2.6182821559542213e-05,0.16175990624650194,0.0008093112244897958,5.551115123125783e-16,4.5308357066176086e-10
30.0,0.008481672919312797,0.06505371507575011,1.9516114522725034,0.3179898380276177,9.539695140828531,0.2529361229518676,7.588083688556029,9.209022840475645e-08,0.0012801194870448419,9.209022840475645e-08,1.1546768095893611e-05,1.1638858324298368e-05,0.16178838521719724,0.00035969387755102025,8.326672684688674e-17,4.676056208907653e-10
40.0,0.006361254689484598,0.05607418416625445,2.242967366650178,0.25287648214330233,10.115059285732093,0.19680229797704787,7.872091919081915,3.9416602826310154e-08,0.0009740777499078696,3.9416602826310154e-08,6.50767973187083e-06,6.54709633469714e-06,0.1617942797920428,0.00020232780612244896,4.996003610813204e-16,4.794723507117737e-10
