case_type,seed,K,sigma_std_1,sigma_std_2,p1_initial,p2_initial,max_abs_p1_change,max_abs_p2_change,logtan_slope_fit,logtan_slope_pred,slope_relative_error,log_ratio_slope_fit,log_ratio_slope_pred,log_ratio_slope_relative_error,p_relative_L2_error,drift_relative_L2_error,polar_logtan_relative_L2_error,max_phi_error,sphere_norm_error,status,config_hash,median_R_ans_over_rho2,median_E_phi_over_rho2
equal_variance,,10.0,0.21999999999999997,0.21999999999999997,0.35,0.65,5.627304334426819e-05,5.6273043344434726e-05,-0.0048414445595573235,-0.004839999999999999,0.00029846271845551767,,,,,,,,5.112467116319408e-10,pass,24e9477d53a1d87b0734b0705a420a1e41bca21541f63212f752516c4bc688e5,0.3273018505763641,0.11176372200054034
gaussian_robustness,0,10.0,,,,,,,,,,0.1599727202220899,0.15999999999999992,0.00017049861193770702,2.906961490287226e-05,0.0002984039338029184,0.00030348252031364443,6.99654072133793e-05,5.056146612503198e-10,pass,6772da4e4eec09afe0c082a50edf1a147a200ff36d9c7c9bba4dc5952e51d9bf,,
gaussian_robustness,1,10.0,,,,,,,,,,0.1598795034484475,0.15999999999999998,0.0007531034472029256,0.00016541463522681425,0.0002472355502580295,0.00015463807369810813,4.871649256510402e-05,5.050632134739885e-10,pass,891ab2d73d24c02a1e1462813309d35c1ea0d70c11a366c9c8ba5c3abf1a307f,,
gaussian_robustness,2,10.0,,,,,,,,,,0.15990144439021875,0.15999999999999998,0.0006159725611326606,0.0001281633917749994,0.0002781238330083398,0.0002551579009970668,6.77860448340395e-05,5.051612461670629e-10,pass,e9e198ff273db0409974a836a5c6454815dff26995d9c3f2527c8687dc45447d,,
gaussian_robustness,3,10.0,,,,,,,,,,0.15996059661943937,0.15999999999999998,0.0002462711285037764,5.014081724497804e-05,0.00021252154680752078,0.00033984228884282534,7.197015200033352e-05,5.065331487585922e-10,pass,373a4041eccef4bfb77eec525db22c646720bccf111d6d26e9445bc2fa1ee8d7,,
gaussian_robustness,4,10.0,,,,,,,,,,0.1599626705891932,0.15999999999999998,0.00023330881754237562,4.5786397830880176e-05,0.0002722835255159758,0.00041923531090898417,8.953073721562621e-05,5.061189245481046e-10,pass,b1fe379c30013785ba384deefbffb12347bd6faf0e485c525a724adfc5b23048,,
