K,rho,t_f_num,K_t_f_num,K_t_f_num_over_log_one_over_rho,E_theta_at_t_f_num_over_rho2,E_phi_at_t_f_num_over_rho2
10.0,0.025778574121175325,0.08374187093546773,0.8374187093546772,0.2289147820405278,2.519366981397694,2.4790184623028484
15.0,0.01718571608078355,0.08284142071035518,1.2426213106553277,0.3057874437870881,2.519845649236336,2.4675408145176
22.5,0.0114571440538557,0.07383691845922961,1.6613306653326663,0.37173371005893685,2.4865179921530944,2.4251837627676345
30.0,0.008592858040391775,0.06483241620810405,1.9449724862431215,0.4088804914439174,2.49648077326295,2.4304928282769307
