seed,relative_L2_error,max_relative_error,mean_relative_error,rho_min_seed,rho_max_seed,all_fast_thresholds_reached_seed,all_hitting_thresholds_reached_seed
0,0.0014813082605459257,0.006565228405462997,0.0021644926665680274,0.04410204514300262,0.1587673625148094,True,True
1,0.0016857734384643384,0.008335074378646785,0.002491501456032404,0.0512871828429276,0.18463385823453934,True,True
2,0.00029596665200195475,0.0004811353650814845,0.00022045397985993406,0.04358642060243864,0.1569111141687791,True,True
3,0.002135535379341306,0.008912769185325955,0.003090064768020805,0.04726520012739092,0.17015472045860727,True,True
4,0.00028324253109905407,0.0010070459066949628,0.0003763629451400463,0.03648720981617634,0.13135395533823488,True,True
